class_weight,criterion,max_depth,min_samples_leaf,min_samples_split,n_estimators,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
,gini,,1,10,200,0.7688825512211536,0.8094714292358113,0.7584573962622744,0.9304811380788589,0.9570446735395189
,gini,20.0,2,5,100,0.7687937829550178,0.8139912418706123,0.7545481821701334,0.9255296559386362,0.9639175257731959
,gini,,2,5,100,0.7687937829550178,0.8139912418706123,0.7545481821701334,0.9255296559386362,0.9639175257731959
,entropy,,2,2,100,0.7685438175030371,0.8113729274576222,0.7584177137225917,0.9296063277420625,0.9742268041237113
,entropy,20.0,2,2,100,0.7685438175030371,0.8113729274576222,0.7584177137225917,0.9296063277420625,0.9742268041237113
balanced,gini,10.0,2,10,200,0.7683728297921809,0.8133399403705999,0.7579172385879704,0.9316303265199666,0.9415807560137457
balanced,gini,10.0,2,2,200,0.768271492154992,0.8177087376326939,0.7523715376764157,0.9300027153386938,0.9690721649484536
,entropy,10.0,2,10,100,0.7682462129335774,0.8136771089866223,0.7577306162672017,0.9318299137478837,0.9432989690721649
,entropy,,2,10,100,0.7681884721270155,0.8120244485524278,0.7579628163164749,0.929014244405065,0.9450171821305842
,entropy,20.0,2,10,100,0.7681884721270155,0.8120244485524278,0.7579628163164749,0.929014244405065,0.9450171821305842
,entropy,,1,10,100,0.7680633527823242,0.809030975750682,0.7568110547988598,0.92809421074618,0.9570446735395189
,entropy,20.0,1,10,100,0.7680633527823242,0.809030975750682,0.7568110547988598,0.92809421074618,0.9570446735395189
,gini,,2,10,300,0.7680447044203348,0.8054569318568708,0.7596091577798896,0.9280240554924752,0.9415807560137457
,gini,20.0,2,10,300,0.7680447044203348,0.8054569318568708,0.7596091577798896,0.9280240554924752,0.9415807560137457
balanced,gini,10.0,1,5,100,0.7679259402664491,0.816775670562846,0.7517907295956076,0.9280835530631556,0.979381443298969
,entropy,10.0,1,10,100,0.7679225748304397,0.8129397001837031,0.7559931193467778,0.9280429030294451,0.9536082474226805
,gini,20.0,1,10,300,0.7675782999169023,0.8082433629342155,0.7576443881321931,0.9298398184931322,0.9536082474226805
,gini,,1,10,300,0.7675782999169023,0.8082433629342155,0.7576443881321931,0.9298398184931322,0.9536082474226805
,gini,,1,2,200,0.7672654859919228,0.8086660720014454,0.7556796184844966,0.9267480591517598,1.0
,gini,20.0,1,2,200,0.7672654859919228,0.8086660720014454,0.7556796184844966,0.9268925949582509,1.0
balanced,gini,,1,10,100,0.7667821161175625,0.8122059266746218,0.7537554992433041,0.9240210955276481,0.9450171821305842
balanced,gini,20.0,1,10,100,0.7667821161175625,0.8122059266746218,0.7537554992433041,0.9240210955276481,0.9450171821305842
,gini,20.0,2,10,200,0.766435430244869,0.8063064342346744,0.7568517052053637,0.9273339031219081,0.9381443298969072
,gini,,2,10,200,0.766435430244869,0.8063064342346744,0.7568517052053637,0.9273339031219081,0.9381443298969072
balanced,gini,,2,2,100,0.7663555535967437,0.8124168111815319,0.7527102910639496,0.929774542070699,0.9707903780068728
balanced,gini,20.0,2,2,100,0.7663555535967437,0.8124168111815319,0.7527102910639496,0.929774542070699,0.9707903780068728
,gini,10.0,2,10,300,0.7663114432953189,0.8053585402207748,0.7568313800021117,0.928599851076606,0.9415807560137457
,gini,20.0,2,2,300,0.7659599843143263,0.8082101703658566,0.754593759898638,0.928947482632498,0.9690721649484536
,gini,,2,2,300,0.7659599843143263,0.8082101703658566,0.754593759898638,0.9289953066401498,0.9690721649484536
,gini,,1,10,100,0.7653341871288949,0.8088128083522822,0.7529424911132228,0.9304507089228226,0.9570446735395189
,gini,20.0,1,10,100,0.7653341871288949,0.8088128083522822,0.7529424911132228,0.9304507089228226,0.9604810996563574
balanced,gini,20.0,2,10,100,0.7653092205062536,0.8134112586259127,0.7507048710097491,0.9282824396227036,0.9415807560137457
balanced,gini,,2,10,100,0.7653092205062536,0.8134112586259127,0.7507048710097491,0.9282824396227036,0.9415807560137457
