set,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
173,0.8,1.0,0.1,6,100,1.0,1.0,0.8,0.7869352122091111,0.8087023771540295,0.7852197937563792,0.9328101751715987,0.9261168384879725
307,1.0,1.0,0.05,3,300,0.0,2.0,0.8,0.7867218378017748,0.808632710598655,0.7871845634040756,0.9328424810250564,0.9329896907216495
299,1.0,1.0,0.05,3,200,0.0,2.0,0.8,0.7867218378017748,0.808632710598655,0.7871845634040756,0.9324924712624216,0.9278350515463918
1,0.8,0.0,0.05,3,100,0.0,1.0,0.8,0.786614697524366,0.8058961261210345,0.7883363249216908,0.9309443157430707,0.9072164948453608
214,1.0,0.0,0.05,3,300,1.0,1.0,1.0,0.7863314000855952,0.8031194045459129,0.7877247210783795,0.9257367985989535,0.9432989690721649
216,1.0,0.0,0.05,3,300,1.0,2.0,1.0,0.78620634710911,0.8027269538245149,0.7877247210783797,0.9260965172590294,0.9432989690721649
191,0.8,1.0,0.1,6,300,1.0,2.0,0.8,0.7861660646528149,0.8068976299423056,0.7852197937563792,0.932400609411396,0.9261168384879725
353,1.0,1.0,0.1,3,300,0.0,1.0,0.8,0.7859075444389623,0.8071821108585816,0.7841339351705205,0.9313266226852326,0.9398625429553265
359,1.0,1.0,0.1,3,300,1.0,2.0,0.8,0.785899023206856,0.805203344959987,0.7871845634040756,0.9339078011872981,0.915807560137457
13,0.8,0.0,0.05,3,200,1.0,1.0,0.8,0.7858851229526037,0.8076895706592768,0.7843864604230457,0.9322079047157242,0.9261168384879725
99,0.8,1.0,0.05,3,100,0.0,2.0,0.8,0.7858555605285819,0.8056214086832874,0.7861190300214691,0.9324269120706232,0.9037800687285223
3,0.8,0.0,0.05,3,100,0.0,2.0,0.8,0.7858555605285819,0.8056214086832874,0.7861190300214691,0.9325145145871516,0.9037800687285223
101,0.8,1.0,0.05,3,100,1.0,1.0,0.8,0.7858555605285819,0.8056214086832874,0.7861190300214691,0.93296971278232,0.8969072164948454
