ccp_alpha,class_weight,criterion,max_depth,min_samples_leaf,min_samples_split,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
0.0,balanced,gini,5,2,5,0.7475410182655754,0.7603262598036405,0.7498325590398761,0.8736789076407987,0.8687214611872146
0.0,balanced,gini,5,2,10,0.7466790885944141,0.7597376233887716,0.7490195509097948,0.8724918292806534,0.8687214611872146
0.0,balanced,gini,5,2,20,0.7479499278999575,0.7664840850261517,0.7457471931862176,0.8783514063237229,0.8641552511415526
0.0,balanced,gini,5,4,5,0.7511512511530432,0.7658306577308074,0.7506455671699575,0.8690781062569828,0.8664383561643836
0.0,balanced,gini,5,4,10,0.7536039673991671,0.768309843898309,0.7531455671699574,0.8709741657262212,0.8664383561643836
0.0,balanced,gini,5,4,20,0.7452487947134147,0.7626012377314987,0.7441008517228029,0.8724314478656405,0.8641552511415526
0.0,balanced,gini,5,8,5,0.750119685523889,0.7696080108656422,0.7465398761130468,0.8726434496152375,0.8641552511415526
0.0,balanced,gini,5,8,10,0.750119685523889,0.7696080108656422,0.7465398761130468,0.8726434496152375,0.8641552511415526
0.0,balanced,gini,5,8,20,0.7485615065782244,0.7675990744023956,0.7449138598528842,0.8725166550501868,0.8641552511415526
0.0,balanced,gini,7,2,5,0.7459565882163738,0.7577872297168111,0.7496902826171118,0.8462714113691214,0.9155251141552512
0.0,balanced,gini,7,2,10,0.7521602628133158,0.7647049855984495,0.7555236159504453,0.8593366093829303,0.9075342465753424
0.0,balanced,gini,7,2,20,0.7436146455998256,0.7453420649922424,0.7490398761130469,0.8607450436449893,0.8904109589041096
0.0,balanced,gini,7,4,5,0.7422195167377104,0.764567923334053,0.7466753774680603,0.847536970158712,0.9006849315068494
0.0,balanced,gini,7,4,10,0.7398771662834901,0.760084684159548,0.7467363530778165,0.8536843762638858,0.9006849315068494
0.0,balanced,gini,7,4,20,0.7271203906112025,0.7302940233015631,0.7355100658149438,0.8569268497660044,0.889269406392694
0.0,balanced,gini,7,8,5,0.7303436222302662,0.7343137116123424,0.7346564072783586,0.8700435547116374,0.8926940639269406
0.0,balanced,gini,7,8,10,0.7303436222302662,0.7343137116123424,0.7346564072783586,0.8700435547116374,0.8926940639269406
0.0,balanced,gini,7,8,20,0.7308356999302055,0.7358027331832238,0.7338433991482772,0.8621784775871288,0.8926940639269406
0.0,balanced,gini,10,2,5,0.7336482620307707,0.7598361148369163,0.7331794425087107,0.8488205355523224,0.952054794520548
0.0,balanced,gini,10,2,10,0.7392946918589525,0.7702142684645874,0.7349477351916376,0.8539650817666737,0.9292237442922374
0.0,balanced,gini,10,2,20,0.7298299233821424,0.7337294088259438,0.7321970576848627,0.862195869445291,0.8926940639269406
0.0,balanced,gini,10,4,5,0.7393310370055587,0.7634883690217052,0.7395141308555944,0.85035402250261,0.9223744292237442
